,0
simplified_model_patriot,-8865.74653693247
simplified_model_soul,-8960.64101128363
simplified_model_200,-9019.641681477326
simplified_model_sentra,-9071.904736824425
simplified_model_cruze,-9465.46344147846
simplified_model_500,-9485.83371859474
simplified_model_accent,-9638.25894360211
simplified_model_rio,-9891.93027363873
simplified_model_trax,-9914.041409762245
simplified_model_forte,-10148.810571921464
simplified_model_ecosport,-10674.820628032587
simplified_model_sonic,-10884.896007636382
simplified_model_versa,-10937.908784571857
simplified_model_fiesta,-10971.157821330784
simplified_model_spark,-11747.08799187752
simplified_model_mirage,-14271.68659795486
car_age,-14973.819989834896
