,price,year,condition,cylinders,odometer,title_status,transmission,drive,type,state,simplified_model
188702,1000,2013.0,Not Specified,8.0,42000.0,missing,other,Not Specified,Not Specified,ma,f150
188960,950,1960.0,salvage,8.0,60000.0,missing,automatic,rwd,coupe,ma,pontiac
189026,1000,1997.0,Not Specified,8.0,42000.0,missing,manual,Not Specified,Not Specified,ma,f250
190602,7000,1977.0,fair,8.0,68723.0,missing,automatic,rwd,Not Specified,ma,pontiac
192012,2000,1962.0,good,8.0,106234.0,missing,automatic,rwd,Not Specified,ma,ford
192042,2500,1992.0,good,4.0,143500.0,missing,manual,4wd,SUV,ma,wrangler
192230,5200,1960.0,Not Specified,8.0,1960.0,missing,automatic,Not Specified,Not Specified,ma,ford
192247,1295,2006.0,good,4.0,170000.0,missing,automatic,fwd,coupe,ma,toyota
192592,700,2006.0,fair,6.0,187000.0,missing,automatic,fwd,SUV,ma,escape
192726,7200,1971.0,Not Specified,4.0,999999.0,missing,manual,Not Specified,Not Specified,ma,volkswagen
193839,6995,2012.0,Not Specified,8.0,215149.0,missing,automatic,Not Specified,Not Specified,mi,ford
194797,6995,2012.0,Not Specified,8.0,215149.0,missing,automatic,Not Specified,Not Specified,mi,ford
195415,6995,2012.0,Not Specified,8.0,215149.0,missing,automatic,Not Specified,Not Specified,mi,ford
196849,2000,1984.0,Not Specified,8.0,30000.0,missing,automatic,rwd,coupe,mi,corvette
196873,900,2008.0,fair,6.0,150000.0,missing,automatic,Not Specified,van,mi,town
197964,6995,2012.0,Not Specified,8.0,215149.0,missing,automatic,Not Specified,Not Specified,mi,ford
198574,2000,1981.0,fair,4.0,78000.0,missing,manual,Not Specified,convertible,mi,fiat
203087,6995,2012.0,Not Specified,8.0,215149.0,missing,automatic,Not Specified,Not Specified,mi,ford
203612,6995,2012.0,Not Specified,8.0,215149.0,missing,automatic,Not Specified,Not Specified,mi,ford
206210,9995,2014.0,Not Specified,6.0,124383.0,missing,automatic,Not Specified,Not Specified,mi,explorer
206782,6995,2012.0,Not Specified,8.0,215149.0,missing,automatic,Not Specified,Not Specified,mi,ford
